timestamp;elapsed_s;record_frame;peak_id;state;x_px;y_px;initial_x_px;initial_y_px;dx_px;dy_px;displacement_px;confidence;missed_frames;search_scale;area_px;threshold;preset
2026-08-12T04:53:53.058;5.945;21;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9590;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:53.349;6.236;22;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9251;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:53.349;6.236;22;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9285;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:53.635;6.522;23;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9363;0;1.000;84.00;255.00;Базовый
2026-08-12T04:53:53.635;6.522;23;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9285;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:54.032;6.919;24;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9363;0;1.000;84.00;255.00;Базовый
2026-08-12T04:53:54.032;6.919;24;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9285;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:54.534;7.422;25;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9363;0;1.000;84.00;255.00;Базовый
2026-08-12T04:53:54.534;7.422;25;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9291;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:54.844;7.732;26;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9363;0;1.000;84.00;255.00;Базовый
2026-08-12T04:53:54.844;7.732;26;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9291;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:55.144;8.032;27;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9527;0;1.000;84.00;254.00;Базовый
2026-08-12T04:53:55.144;8.032;27;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9291;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:55.436;8.323;28;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9543;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:55.436;8.323;28;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9932;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:55.722;8.609;29;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9945;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:55.722;8.609;29;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9932;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:56.015;8.902;30;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9943;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:56.015;8.902;30;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9939;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:56.330;9.218;31;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9944;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:56.330;9.218;31;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9939;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:56.623;9.511;32;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9944;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:56.623;9.511;32;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9939;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:56.917;9.804;33;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9944;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:56.917;9.804;33;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9939;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:57.204;10.092;34;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9942;0;1.000;83.00;253.00;Базовый
2026-08-12T04:53:57.204;10.092;34;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9785;0;1.000;76.00;252.00;Базовый
2026-08-12T04:53:57.499;10.387;35;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9446;0;1.000;83.00;253.00;Базовый
2026-08-12T04:53:57.499;10.387;35;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9180;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:57.789;10.676;36;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9517;0;1.000;83.00;253.00;Базовый
2026-08-12T04:53:57.789;10.676;36;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9392;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:58.064;10.952;37;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9943;0;1.000;83.00;253.00;Базовый
2026-08-12T04:53:58.064;10.952;37;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9392;0;1.000;77.00;252.00;Базовый
2026-08-12T04:53:58.343;11.230;38;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9944;0;1.000;83.00;253.00;Базовый
2026-08-12T04:53:58.343;11.230;38;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9170;0;1.000;76.00;253.00;Базовый
2026-08-12T04:53:58.633;11.520;39;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9944;0;1.000;83.00;253.00;Базовый
2026-08-12T04:53:58.633;11.520;39;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9170;0;1.000;76.00;253.00;Базовый
2026-08-12T04:53:58.932;11.819;40;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9945;0;1.000;83.00;253.88;Базовый
2026-08-12T04:53:58.932;11.819;40;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9170;0;1.000;76.00;253.00;Базовый
2026-08-12T04:53:59.211;12.098;41;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9365;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:59.211;12.098;41;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9928;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:59.490;12.377;42;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9794;0;1.000;84.00;253.00;Базовый
2026-08-12T04:53:59.490;12.377;42;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9930;0;1.000;77.00;253.00;Базовый
2026-08-12T04:53:59.787;12.674;43;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9940;0;1.000;84.00;254.00;Базовый
2026-08-12T04:53:59.787;12.674;43;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9200;0;1.000;77.00;254.00;Базовый
2026-08-12T04:54:00.063;12.950;44;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9940;0;1.000;84.00;254.00;Базовый
2026-08-12T04:54:00.063;12.950;44;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9929;0;1.000;77.00;253.00;Базовый
2026-08-12T04:54:00.338;13.225;45;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9709;0;1.000;84.00;254.72;Базовый
2026-08-12T04:54:00.338;13.225;45;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9929;0;1.000;77.00;253.00;Базовый
2026-08-12T04:54:00.618;13.505;46;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9709;0;1.000;84.00;254.72;Базовый
2026-08-12T04:54:00.618;13.505;46;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9929;0;1.000;77.00;253.00;Базовый
2026-08-12T04:54:00.897;13.785;47;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9709;0;1.000;84.00;254.72;Базовый
2026-08-12T04:54:00.897;13.785;47;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9929;0;1.000;77.00;253.00;Базовый
2026-08-12T04:54:01.185;14.072;48;1;LOCK;1248.3496;908.2203;1248.3496;908.2203;0.0000;0.0000;0.0000;0.9796;0;1.000;84.00;254.00;Базовый
2026-08-12T04:54:01.185;14.072;48;2;LOCK;1306.8770;862.9022;1306.8770;862.9022;0.0000;0.0000;0.0000;0.9133;0;1.000;77.00;253.84;Базовый
